1,CSV Imports,CSV Imports,,csvimport,0,1
2,CSV Member Data,CSV Member Data,csvmemberdata/controls/view,csvmemberdata,1,1
3,CSV Member Data,View,csvmemberdata/controls/view,csvmemberdataview,2,0
4,Add,Add,csvmemberdata/controls/add,csvmemberdataadd,2,0
5,Save,Save,csvmemberdata/controls/save,csvmemberdatasave,2,0
6,Truncate,Truncate,csvmemberdata/controls/truncate,csvmemberdatatruncate,2,0
7,Setups,Setups,,setups,0,1
8,Manage Site Banners,Manage Site Banners,managesitebanners/controls/view,managesitebanners,7,1
9,Manage Site Banners,View,managesitebanners/controls/view,managesitebannersview,8,0
10,Add,Add,managesitebanners/controls/add,managesitebannersadd,8,0
11,Edit,Edit,managesitebanners/controls/edit,managesitebannersedit,8,0
12,Save,Save,managesitebanners/controls/save,managesitebannerssave,8,0
13,Options,Options,managesitebanners/controls/options,managesitebannersoptions,8,0
14,Delete,Delete,managesitebanners/controls/delete,managesitebannersdelete,13,0
15,Update Sorting,Update Sorting,managesitebanners/controls/ajax_update_sorting,managesitebannersupdatesorting,13,0
16,Manage Admin Users,Manage Admin Users,manageadmins/controls/view,manageadmins,7,1
17,Manage Admin Users,View,manageadmins/controls/view,manageadminsview,16,0
18,Add,Add,manageadmins/controls/add,manageadminsadd,16,0
19,Edit,Edit,manageadmins/controls/edit,manageadminsedit,16,0
20,Save,Save,manageadmins/controls/save,manageadminssave,16,0
21,Options,Options,manageadmins/controls/options,manageadminsoptions,16,0
22,Delete,Delete,manageadmins/controls/delete,manageadminsdelete,21,0
23,Manage Admin Roles,Manage Admin Roles,manageadminroles/controls/view,manageadminroles,7,1
24,Manage Admin Roles,View,manageadminroles/controls/view,manageadminrolesview,23,0
25,Add,Add,manageadminroles/controls/add,manageadminrolesadd,23,0
26,Edit,Edit,manageadminroles/controls/edit,manageadminrolesedit,23,0
27,Save,Save,manageadminroles/controls/save,manageadminrolessave,23,0
28,Options,Options,manageadminroles/controls/options,manageadminrolesoptions,23,0
29,Delete,Delete,manageadminroles/controls/delete,manageadminrolesdelete,28,0
30,Manage Admin Role Permissions,Manage Admin Role Permissions,manageadminrolepermissions/controls/edit,manageadminrolepermissions,7,1
31,Manage Admin Role Permissions,Manage Admin Role Permissions,manageadminrolepermissions/controls/edit,manageadminrolepermissionsedit,30,0
32,Save,Save,manageadminrolepermissions/controls/save,manageadminrolepermissionssave,30,0
33,Manage Users,Manage Users,manageusers/controls/view,manageusers,7,1
34,Manage Users,View,manageusers/controls/view,manageusersview,33,0
35,Add,Add,manageusers/controls/add,manageusersadd,33,0
36,Edit,Edit,manageusers/controls/edit,manageusersedit,33,0
37,Save,Save,manageusers/controls/save,manageuserssave,33,0
38,Change Member Status,Change Member Status,manageusers/controls/togglememberstatus,manageusersstatus,33,0
